Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2023-04-19 12:13:08,FALSE,Strength,"0,00",33,00:23:54,76,88,"0,1",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,11,2,0:00,"28,0",0:00,No,23:54.40,1,"28,0",21,20,22,00:23:52,00:23:54,--,--
Cycling,2023-04-18 16:54:30,FALSE,Camden Cycling,"63,30",1.357,02:00:10,143,165,"3,3",--,--,"31,6","46,2",174,166,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"11,0",0:00,No,06:42.87,13,"21,0",32,18,39,01:59:46,02:07:01,32,56
Strength Training,2023-04-17 12:13:14,FALSE,Strength,"0,00",57,00:24:40,75,116,"0,1",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,18,2,0:00,"29,0",0:00,No,24:40.33,1,"30,0",18,18,19,00:24:38,00:24:40,--,--
Pool Swimming,2023-04-16 17:36:42,FALSE,Pool Swimming,5.050,1.017,01:33:01,142,169,"3,2",--,--,1:23,0:49,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1965,30,28,0,--,0:00,"0,0",0:00,No,00:11.32,54,"0,0",--,--,--,01:09:37,01:38:43,--,--
Cycling,2023-04-16 12:10:13,FALSE,Camden Cycling,"45,35",1.075,01:22:54,150,186,"3,8",--,--,"32,8","51,1",128,109,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"16,0",0:00,No,00:39.70,10,"22,0",33,16,43,01:22:36,01:27:45,36,54
Pool Swimming,2023-04-14 16:49:40,FALSE,Pool Swimming,3.000,597,01:07:53,128,172,"2,5",--,--,1:22,0:58,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1150,30,28,0,--,0:00,"0,0",0:00,No,00:01.64,66,"0,0",--,--,--,00:40:45,01:16:37,--,--
Elliptical,2023-04-13 12:11:35,FALSE,Elliptical,"0,00",228,00:30:55,115,133,"1,2",98,192,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"27,0",0:00,No,30:54.88,1,"30,0",--,--,--,00:00:00,00:30:55,--,--
Strength Training,2023-04-13 07:51:25,FALSE,Strength,"0,00",--,"00:07:58,1",0,0,"0,0",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,5,1,0:00,"28,0",0:00,No,07:58.09,1,"29,0",13,13,14,"00:07:58,1","00:07:58,1",--,--
Pool Swimming,2023-04-12 18:23:42,FALSE,Pool Swimming,3.600,562,01:22:58,131,174,"2,8",--,--,1:21,0:57,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1075,30,29,0,--,0:00,"0,0",0:00,No,00:21.18,60,"0,0",--,--,--,00:54:56,01:26:27,--,--
Strength Training,2023-04-12 08:16:04,FALSE,Strength,"0,00",--,00:11:01,0,0,"0,0",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,5,1,0:00,"26,0",0:00,No,11:01.43,1,"27,0",13,13,13,00:11:01,00:11:01,--,--
Strength Training,2023-04-11 12:13:41,FALSE,Strength,"0,00",78,00:25:38,91,107,"0,2",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,31,2,0:00,"28,0",0:00,No,25:38.02,1,"30,0",20,20,21,00:25:35,00:25:38,--,--
Pool Swimming,2023-04-10 15:39:46,FALSE,Pool Swimming,3.600,576,01:08:56,136,170,"3,0",--,--,1:27,1:06,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1160,32,29,0,--,0:00,"0,0",0:00,No,00:08.31,36,"0,0",--,--,--,00:54:41,01:14:24,--,--
Cycling,2023-04-09 12:59:26,FALSE,Sutton Cycling,"58,32",1.251,02:06:18,131,166,"2,6",--,--,"27,7","47,0",440,454,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"16,0",0:00,No,06:45.42,12,"23,0",26,14,36,02:05:34,03:15:04,9,176
Cycling,2023-04-09 11:29:27,FALSE,Wandsworth Cycling,"12,41",194,00:32:08,101,130,"0,3",--,--,"23,2","34,6",59,41,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"15,0",0:00,No,05:41.94,3,"20,0",22,13,28,00:31:52,01:12:43,16,46
Cycling,2023-04-09 10:55:48,FALSE,Wandsworth Cycling,"1,20",36,"00:04:13,2",113,131,"0,2",--,--,"17,1","24,7",21,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"17,0",0:00,No,04:13.24,1,"19,0",23,17,27,00:03:40,"00:06:08,2",8,35
Cycling,2023-04-07 16:45:44,FALSE,Camden Cycling,"44,67",825,01:38:49,126,155,"2,4",--,--,"27,1","53,9",430,422,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"14,0",0:00,No,09:33.77,9,"22,0",28,13,36,01:38:09,01:49:02,37,147
Pool Swimming,2023-04-07 10:47:56,FALSE,Pool Swimming,3.700,713,01:44:14,125,173,"2,9",--,--,1:24,0:59,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1411,31,29,0,--,0:00,"0,0",0:00,No,00:11.09,82,"0,0",--,--,--,00:53:44,01:44:37,--,--
Pool Swimming,2023-04-05 17:22:48,FALSE,Pool Swimming,3.600,726,00:58:28,136,161,"2,9",--,--,1:29,1:00,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1507,33,28,0,--,0:00,"0,0",0:00,No,00:13.00,12,"0,0",--,--,--,00:53:21,01:05:38,--,--
